document_index,summarizer,normalizer,rouge_1,rouge_2,rouge_l,time_elapsed
363,freq,raw,0.8208955223880597,0.7761194029850746,0.7931034482758621,0.0
1479,freq,raw,0.5138888888888888,0.4794520547945205,0.8533333333333334,0.0
1768,freq,raw,0.2545454545454545,0.21818181818181817,0.7368421052631579,0.0
600,freq,raw,0.4925373134328358,0.4626865671641791,0.958904109589041,0.0
831,freq,raw,0.7818181818181819,0.7540983606557377,0.5983606557377049,0.0009996891021728516
1106,freq,raw,0.8985507246376812,0.875,0.3470319634703196,0.0
922,freq,raw,0.5333333333333333,0.4954128440366973,0.43018867924528303,0.0
1656,freq,raw,0.15151515151515152,0.13138686131386862,0.7985611510791367,0.0
1118,freq,raw,0.5287356321839081,0.4883720930232558,0.7521367521367521,0.0010042190551757812
1984,freq,raw,0.9195402298850575,0.896551724137931,0.26176470588235295,0.0
1712,freq,raw,0.8604651162790697,0.8409090909090909,0.5470588235294118,0.0
633,freq,raw,0.23529411764705882,0.21428571428571427,0.9534883720930233,0.0
980,freq,raw,0.8775510204081632,0.8571428571428571,0.45662100456621,0.0
2196,freq,raw,0.27358490566037735,0.24528301886792453,0.5966850828729282,0.0005033016204833984
1951,freq,raw,0.23809523809523808,0.20634920634920634,0.65,0.0
419,freq,raw,0.8266666666666667,0.7894736842105263,0.7155963302752294,0.0
2068,freq,raw,0.6178861788617886,0.5887096774193549,0.4405594405594406,0.0
1856,freq,raw,0.5625,0.5301204819277109,0.6541353383458647,0.0010004043579101562
1706,freq,raw,0.6621621621621622,0.64,0.875,0.0
217,freq,raw,0.6352941176470588,0.6162790697674418,0.956989247311828,0.0009999275207519531
704,freq,raw,0.28,0.2597402597402597,0.9294117647058824,0.0
960,freq,raw,0.2764227642276423,0.224,0.7529411764705882,0.0
1138,freq,raw,0.8260869565217391,0.7971014492753623,0.8765432098765432,0.0
552,freq,raw,0.905511811023622,0.8846153846153846,0.6445497630331753,0.0
1734,freq,raw,0.5625,0.5396825396825397,0.8783783783783784,0.0
1978,freq,raw,0.7303370786516854,0.6989247311827957,0.3231292517006803,0.0
1095,freq,raw,0.8522727272727273,0.8351648351648352,0.4392523364485981,0.0
610,freq,raw,0.8260869565217391,0.7941176470588235,0.56,0.0
1001,freq,raw,0.8382352941176471,0.7971014492753623,0.3333333333333333,0.0
1533,freq,raw,0.5119047619047619,0.47619047619047616,0.8604651162790697,0.0
1369,freq,raw,0.6666666666666666,0.6413043478260869,0.28023598820059,0.0
1942,freq,raw,0.5,0.4772727272727273,0.703125,0.0
1357,freq,raw,0.825,0.8048780487804879,0.6204379562043796,0.0
1058,freq,raw,0.5421686746987951,0.49411764705882355,0.9318181818181818,0.0
988,freq,raw,0.8620689655172413,0.8314606741573034,0.7054263565891473,0.0
2070,freq,raw,0.4523809523809524,0.3793103448275862,0.8725490196078431,0.0
1254,freq,raw,0.9285714285714286,0.8837209302325582,0.3236363636363636,0.0
2147,freq,raw,0.4489795918367347,0.422680412371134,0.66,0.0
1736,freq,raw,0.59375,0.5692307692307692,0.5630252100840336,0.0
1853,freq,raw,0.6282051282051282,0.6075949367088608,0.6507936507936508,0.0
401,freq,raw,0.6551724137931034,0.6067415730337079,0.5833333333333334,0.0
893,freq,raw,0.8681318681318682,0.851063829787234,0.7441860465116279,0.0
1919,freq,raw,0.47297297297297297,0.4520547945205479,0.6147540983606558,0.0
1838,freq,raw,0.8378378378378378,0.8157894736842105,0.6842105263157895,0.0
358,freq,raw,0.48514851485148514,0.45544554455445546,0.7304964539007093,0.0
997,freq,raw,0.8243243243243243,0.7972972972972973,0.3584905660377358,0.0
1079,freq,raw,0.7032967032967034,0.65625,0.43805309734513276,0.0
1750,freq,raw,0.8428571428571429,0.8169014084507042,0.6972477064220184,0.0
1850,freq,raw,0.9078947368421053,0.8860759493670886,0.3778801843317972,0.0
1601,freq,raw,0.8641975308641975,0.8395061728395061,0.44623655913978494,0.0
1889,freq,raw,0.8602150537634409,0.8369565217391305,0.3715415019762846,0.0
1900,freq,raw,0.9195402298850575,0.8977272727272727,0.35019455252918286,0.0
2006,freq,raw,0.8933333333333333,0.8666666666666667,0.48125,0.0
1877,freq,raw,0.8125,0.78125,0.6,0.0
994,freq,raw,0.9027777777777778,0.8831168831168831,0.4010152284263959,0.0
2111,freq,raw,0.8194444444444444,0.7916666666666666,0.2222222222222222,0.0
627,freq,raw,0.8307692307692308,0.8,0.638095238095238,0.0
1580,freq,raw,0.9166666666666666,0.8958333333333334,0.34146341463414637,0.0
320,freq,raw,0.5714285714285714,0.5352112676056338,0.9726027397260274,0.0
622,freq,raw,0.3191489361702128,0.3118279569892473,0.9693877551020408,0.0
1273,freq,raw,0.29333333333333333,0.25165562913907286,0.7772277227722773,0.0
1486,freq,raw,0.8928571428571429,0.8571428571428571,0.9195402298850575,0.0009996891021728516
885,freq,raw,0.6351351351351351,0.6125,0.6277372262773723,0.0
1191,freq,raw,0.8059701492537313,0.7794117647058824,0.5109489051094891,0.0
384,freq,raw,0.8333333333333334,0.8,0.875,0.0
507,freq,raw,0.21348314606741572,0.18181818181818182,0.8333333333333334,0.0
64,freq,raw,0.8461538461538461,0.8076923076923077,0.6060606060606061,0.0
1401,freq,raw,0.8461538461538461,0.810126582278481,0.5912408759124088,0.0
1837,freq,raw,0.22077922077922077,0.19480519480519481,0.6171875,0.0009996891021728516
2203,freq,raw,0.8428571428571429,0.7857142857142857,0.7346938775510204,0.0
573,freq,raw,0.9090909090909091,0.8876404494382022,0.3888888888888889,0.0
75,freq,raw,0.6309523809523809,0.5930232558139535,0.676923076923077,0.0
2120,freq,raw,0.48148148148148145,0.43209876543209874,0.4666666666666667,0.0009996891021728516
2132,freq,raw,0.8985507246376812,0.8714285714285714,0.21052631578947367,0.0
1969,freq,raw,0.875,0.851063829787234,0.6036585365853658,0.0
124,freq,raw,0.8227848101265823,0.7948717948717948,0.6666666666666666,0.0010006427764892578
1019,freq,raw,0.76,0.7352941176470589,0.4015444015444015,0.0
447,freq,raw,0.1958762886597938,0.17525773195876287,0.6305732484076433,0.0
245,freq,raw,0.8769230769230769,0.8461538461538461,0.44370860927152317,0.0
1152,freq,raw,0.9278350515463918,0.9108910891089109,0.44396551724137934,0.0010006427764892578
86,freq,raw,0.8611111111111112,0.8194444444444444,0.524822695035461,0.0
2072,freq,raw,0.23076923076923078,0.22330097087378642,0.8823529411764706,0.0
697,freq,raw,0.59375,0.578125,0.6,0.0
149,freq,raw,0.8522727272727273,0.8314606741573034,0.5796178343949044,0.0
1192,freq,raw,0.8625,0.8354430379746836,0.5869565217391305,0.0
2181,freq,raw,0.9320388349514563,0.9166666666666666,0.2692307692307692,0.0010004043579101562
1327,freq,raw,0.8648648648648649,0.8205128205128205,0.9,0.0
2066,freq,raw,0.9326923076923077,0.9150943396226415,0.43373493975903615,0.0
39,freq,raw,0.8604651162790697,0.8255813953488372,0.7394957983193278,0.0
1109,freq,raw,0.6262626262626263,0.59,0.5483870967741935,0.0
1159,freq,raw,0.9285714285714286,0.9090909090909091,0.3886792452830189,0.0
2078,freq,raw,0.6666666666666666,0.6477272727272727,0.5947712418300654,0.00099945068359375
1773,freq,raw,0.5070422535211268,0.49295774647887325,0.6460176991150443,0.0
1343,freq,raw,0.8333333333333334,0.7966101694915254,0.8591549295774648,0.0
536,freq,raw,0.582089552238806,0.5522388059701493,0.5609756097560976,0.0
752,freq,raw,0.5,0.46774193548387094,0.9411764705882353,0.0
152,freq,raw,0.6521739130434783,0.6,0.4,0.0
1732,freq,raw,0.6265060240963856,0.5975609756097561,0.717948717948718,0.0
919,freq,raw,0.8604651162790697,0.8352941176470589,0.8130841121495327,0.0
1426,freq,raw,0.5476190476190477,0.5301204819277109,0.6071428571428571,0.0
371,freq,raw,0.5844155844155844,0.5714285714285714,0.9186046511627907,0.0
1827,freq,raw,0.88,0.8613861386138614,0.5148514851485149,0.0010004043579101562
982,freq,raw,0.922077922077922,0.9113924050632911,0.53156146179402,0.0009996891021728516
1540,freq,raw,0.5084745762711864,0.4576271186440678,0.4295774647887324,0.0
150,freq,raw,0.7910447761194029,0.7714285714285715,0.5736434108527132,0.0
1659,freq,raw,0.8676470588235294,0.835820895522388,0.5897435897435898,0.0
729,freq,raw,0.8289473684210527,0.8076923076923077,0.6153846153846154,0.0
1519,freq,raw,0.8405797101449275,0.8,0.3526570048309179,0.0
931,freq,raw,0.8169014084507042,0.7945205479452054,0.4634146341463415,0.0
1688,freq,raw,0.8387096774193549,0.7868852459016393,0.37058823529411766,0.0
1509,freq,raw,0.55,0.5081967213114754,0.4772727272727273,0.0
1270,freq,raw,0.9310344827586207,0.8977272727272727,0.2830188679245283,0.0
2031,freq,raw,0.543859649122807,0.5130434782608696,0.46062992125984253,0.0
1747,freq,raw,0.30158730158730157,0.25806451612903225,0.6666666666666666,0.0
